"","cellID","file_no"
"agswi_12",NA,1
"agswi_13",NA,2
"agswi_19",NA,3
"agswi_26",NA,4
"agswi_27",NA,5
"agswi_28",NA,6
"agswi_29",NA,7
"agswi_30",NA,8
"agswi_31",NA,9
"agswi_32",9096257,10
"agswi_33",NA,11
"agswi_34",NA,12
"agswi_35",5428401,13
"agswi_36",7618795,14
"agswi_37",17785943,15
"agswi_38",NA,16
"agswi_39",1032202,17
"agswi_40",7909355,18
"agswi_41",NA,19
"agswi_42",NA,20
"agswi_43",NA,21
"agswi_44",8602365,22
"agswi_45",16526561,23
"agswi_46",6129555,24
"agswi_47",NA,25
"agswi_48",NA,26
"agswi_49",16623157,27
"agswi_50",NA,28
"agswi_51",9414883,29
"agswi_52",5054074,30
"agswi_53",NA,31
"agswi_54",18920015,32
"agswi_55",8381131,33
"agswi_56",1607799,34
"agswi_57",NA,35
"agswi_58",NA,36
"agswi_59",NA,37
"agswi_60",NA,38
"agswi_61",NA,39
"agswi_62",NA,40
"agswi_63",18523399,41
"agswi_64",3990024,42
"agswi_66",NA,43
"agswi_67",NA,44
"agswi_68",NA,45
"agswi_69",NA,46
"agswi_70",NA,47
"agswi_8",NA,48
